,virac_id,period
0,9352149013641,468.9657687857975
1,9319381049913,327.0127923076318
2,9327573056916,646.135585966045
3,9352149021434,366.62139989096914
4,9360341021978,374.861405039019
5,9335765022701,334.2453262673803
6,9327573021114,153.4944562789171
7,9335765047315,255.7534515853185
8,9339861029960,410.69661535439315
9,9339861051581,421.6703420528285
10,9331669046121,340.92058492211993
11,9331669041236,387.9065526052297
12,9323477052511,334.4892834133195
13,9348053014153,330.6300290878612
14,9356245019076,105.92520965751758
15,9323477053196,421.67587896463164
16,9331669038546,282.9724735310355
17,9331669041192,268.05795757462874
18,9356245018305,206.53288080369597
19,9327574026912,149.71697493639087
20,9348053018773,418.37844958861365
21,9315285028338,264.9182840166451
22,9331669024578,176.35989667601467
23,9331669038271,368.379986827068
24,9323477035010,559.3488671522914
25,9343958016789,353.1725017647498
26,9339861053189,364.3916998360556
27,9343958008840,284.4428170381473
28,9335766061544,351.94049415582435
29,9352150023688,268.49539881970446
30,9327574075430,233.59500562588482
31,9343958008334,134.03615144456222
32,9327574036059,445.0542850780529
33,9319382051495,458.8267962350753
34,9360342012305,225.00547076770127
35,9327574031059,139.595252248928
36,9319382022643,644.2903988161768
37,9335766032015,703.5235316269815
38,9335766028682,263.8296789049276
39,9327574064597,212.26603421360642
40,9352150019286,116.08100816841328
41,9327574064447,147.36322837391185
42,9327574064775,488.6955996890741
43,9335766031608,101.50415343338922
44,9335766051476,138.14094682974135
45,9335766045034,482.7223648465345
46,9356246018537,285.61419050831034
47,9352150005612,665.4874976872361
48,9339862053346,431.5227315313919
49,9335766073421,264.1155906966358
50,9356246014193,360.68437479269403
51,9352150009954,355.55011121018885
52,9331670043944,226.11584349000736
53,9339862086071,319.7995433377796
54,9356246018254,585.8590203567229
55,9356246022251,525.0574117964849
56,9348054026589,135.02425665703979
57,9339862086968,509.1599057738162
58,9335767023768,203.56471262716306
59,9323478021152,496.716579041928
60,9331670037495,386.16339063783937
61,9331670034603,476.4707832770365
62,9323478058022,478.0875281106662
63,9335767027319,618.9281145209977
64,9327575034805,121.23498284788307
65,9348054028112,315.57786004730167
66,9356246008103,627.6387006597082
67,9356246015708,194.50968921263663
68,9352151012605,229.36265924203235
69,9331670027581,471.8546104836354
70,9335767052637,351.51604139689795
71,9356246006346,318.2021402301686
